date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:02	7690/7690	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:55%20GMT	https://www.networkinfrastructure.biz/projects/	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/projects/index.html	(from https://www.networkinfrastructure.biz/)
14:23:02	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:56%20GMT	https://www.networkinfrastructure.biz/themes/img/glyphicons-halflings-white.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/themes/img/glyphicons-halflings-white.png	(from https://www.networkinfrastructure.biz/files/cache/css/netinf/css/bootstrap.css)
14:23:03	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:56%20GMT	https://www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfont.eot?v=3.2.1	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfontf77b.eot	(from https://www.networkinfrastructure.biz/files/cache/css/netinf/css/font-awesome.css)
14:23:03	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:56%20GMT	https://www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfont.eot?	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfontd41d.eot	(from https://www.networkinfrastructure.biz/files/cache/css/netinf/css/font-awesome.css)
14:23:03	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:56%20GMT	https://www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfont.woff?v=3.2.1	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfontf77b.woff	(from https://www.networkinfrastructure.biz/files/cache/css/netinf/css/font-awesome.css)
14:23:03	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:56%20GMT	https://www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfont.ttf?v=3.2.1	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfontf77b.ttf	(from https://www.networkinfrastructure.biz/files/cache/css/netinf/css/font-awesome.css)
14:23:03	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:57%20GMT	https://www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfont.svg	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/themes/theme_karma/font/fontawesome-webfont.svg	(from https://www.networkinfrastructure.biz/files/cache/css/netinf/css/font-awesome.css)
14:23:04	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:58%20GMT	https://www.networkinfrastructure.biz/about-us/company-history/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/about-us/company-history/favicon.ico	(from https://www.networkinfrastructure.biz/about-us/company-history/)
14:23:05	1283320/1283320	---M--	200	added ('OK')	image/png	etag:%2257582790-1394f8%22	https://www.networkinfrastructure.biz/themes/netinf/images/123rF-18980085_xxl.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/themes/netinf/images/123rF-18980085_xxl.png	(from https://www.networkinfrastructure.biz/files/cache/css/netinf/theme-style.css)
14:23:05	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:58%20GMT	https://www.networkinfrastructure.biz/about-us/mission-statement/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/about-us/mission-statement/favicon.ico	(from https://www.networkinfrastructure.biz/about-us/mission-statement/)
14:23:05	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:58%20GMT	https://www.networkinfrastructure.biz/about-us/management-team/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/about-us/management-team/favicon.ico	(from https://www.networkinfrastructure.biz/about-us/management-team/)
14:23:05	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:59%20GMT	https://www.networkinfrastructure.biz/professional-services/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/professional-services/favicon.ico	(from https://www.networkinfrastructure.biz/professional-services/)
14:23:06	1554/1554	---M--	200	added ('OK')	image/png	etag:%225e96117d-612%22	https://www.networkinfrastructure.biz/files/cache/0bdfee7afec446d77eb673ab61dda905_f43.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/cache/0bdfee7afec446d77eb673ab61dda905_f43.png	(from https://www.networkinfrastructure.biz/professional-services/)
14:23:06	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:59%20GMT	https://www.networkinfrastructure.biz/health-safety/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/health-safety/favicon.ico	(from https://www.networkinfrastructure.biz/health-safety/)
14:23:06	23899/23899	---M--	200	added ('OK')	image/jpeg	etag:%22575852dd-5d5b%22	https://www.networkinfrastructure.biz/files/9314/6540/6173/healthSafety1.jpg	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/9314/6540/6173/healthSafety1.jpg	(from https://www.networkinfrastructure.biz/health-safety/)
